,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G01030,2.375175358,2.740772463,3.111798041,3.07552975,0.34205651,1.203051738,-0.533108505,1.568702529,1.527836903,1.799227371,2.068813836,-0.014398209,-0.029032806,1.108561476,1.234368874,1.434770566,1.330274351,-0.700517523,0.777098187,-0.877866211,-0.155154298
AT1G01060,8.720688548,8.83985384,6.252052176,6.223655373,2.314042134,2.267182076,2.636816496,2.116190324,1.574379489,4.051231448,4.28841844,2.367030898,1.946719648,3.79305965,3.667328282,2.986943132,2.579446104,1.494498459,4.069879936,1.624634129,1.610380448
AT1G01250,-0.052686181,0.074711537,0.722231229,0.481689098,-1.036455113,-0.671417379,-2.118071006,3.123763544,2.997979001,1.669459496,1.844253578,3.776593267,3.729412515,1.607014984,1.234368874,1.97026439,1.969392622,2.915741108,4.127595434,2.060733244,3.372583334
AT1G01260,3.206048087,3.357847149,3.278047385,3.039684551,0.101048411,0.913545121,0.689283916,3.385538504,3.219151385,2.882120379,3.100946457,1.095226282,0.707932788,3.51065992,3.465222874,3.019733067,2.867142564,0.606143815,1.625095093,1.506797639,1.429808203
AT1G01350,3.798170379,3.969776697,3.942561184,4.06219195,3.917741197,4.313475728,4.185709742,3.942939497,3.993704346,3.970874993,3.929033998,2.792956713,2.367857346,4.45995648,4.373799847,3.756698661,3.752683839,2.988192902,2.978732048,2.940893474,3.286683261
AT1G01380,-1.637648682,-0.41071529,0.165837881,-1.95127031,-1.773420707,-0.671417379,0.203857089,-0.994233665,-0.154972921,-1.570006439,-0.202040074,0.49256178,0.456394021,-2.546790352,-2.853093967,0.003431254,0.257518009,0.666264807,-0.807864314,1.882946125,1.820598156
AT1G01520,4.883671323,5.03459522,4.733011068,4.464893855,1.851070158,2.267182076,2.274246417,0.755788082,0.882501784,3.254421997,3.335093901,2.956842798,2.832260923,0.340734918,0.49740328,3.072779301,3.021588833,3.265874084,3.345941022,2.720393112,2.624455634
AT1G01720,5.818265596,5.977178945,6.135012755,5.79692254,7.906645735,7.781167074,7.843378688,4.577001852,4.728956526,5.088205044,4.976570655,9.277438932,8.912895119,5.9728459,6.075868474,5.463856123,5.195576623,9.311371772,9.089073501,9.26012109,9.074786052
AT1G02065,1.33635611,1.599553045,1.207658057,1.55969161,1.851070158,1.444059838,1.78881959,0.755788082,0.726382582,-0.216369484,1.055757683,-0.561886004,0.922057593,-1.698793446,-1.715590443,0.088320152,0.528820031,0.884444977,1.118135105,0.906405098,1.067238123
AT1G02220,0.840398615,1.17424721,1.122769159,1.34151144,0.729079633,1.444059838,0.203857089,0.590728835,0.95465157,0.987989014,1.50321666,1.519033991,1.678786442,2.250222625,1.593162263,1.466831775,1.282180063,1.9704182,1.514063781,-0.347351495,0.692842608
AT1G02340,1.621085586,2.139481792,2.521318536,2.265960407,2.707705983,3.358329964,3.308193749,-1.646310362,-0.496009839,0.21426487,0.766251066,1.352384122,0.922057593,-0.961827852,-1.087559221,2.342741427,1.014246858,1.621410571,2.703097605,2.552121629,1.223357325
